"price","published","neigh","area","bathr","rms"
7.5e+006,"2015-08-30","ROSALES","233","3","3"
NA,"2015-08-30",NA,NA,NA,NA
1.4e+006,"2015-08-30","CHAPINERO","58","2","2"
1.25e+006,"2015-08-29","CHAPINERO","65","2","2"
1.05e+006,"2015-08-29","SOLEDAD","33","1","1"
1.8e+006,"2015-08-29","CHAPINERO","58","2","1"
2.7e+006,"2015-08-29","ROSALES","100","2","2"
3.7e+006,"2015-08-29","ROSALES","140","3","3"
2.2e+007,"2015-08-29","ROSALES","341","5","3"
2.2e+006,"2015-08-29","ROSALES","60","2","1"
1.4e+006,"2015-08-29","CHAPINERO","57","2","4"
3.2e+006,"2015-08-29","ROSALES","127","3","2"
3e+006,"2015-08-29","ROSALES","85","2","2"
2e+007,"2015-08-29","ROSALES","730","5","5"
9e+006,"2015-08-29","ROSALES","280","5","3"
2.4e+006,"2015-08-29","ROSALES","70","2","1"
1.4e+006,"2015-08-29",NA,"57","1","1"
935000,"2015-08-29","CHAPINERO",NA,"2","2"
1.8e+006,"2015-08-29","CHAPINERO","90","2","3"
1.7e+006,"2015-08-29","CHAPINERO","55","2","1"
1.55e+006,"2015-08-28","CHAPINERO","52","2","1"
2e+006,"2015-08-28","ROSALES","94","2","2"
4.2e+006,"2015-08-28","ROSALES","118","2","3"
2e+006,"2015-08-28","CHAPINERO","130","4","3"
5e+006,"2015-08-28","ROSALES","132","4","2"
1.8e+006,"2015-08-28","CHAPINERO","60","2","1"
1.8e+006,"2015-08-28","CHAPINERO","60","2","1"
2.3e+006,"2015-08-28","CHAPINERO","80","2","3"
2.3e+006,"2015-08-28","CHAPINERO","80","2","3"
6.5e+006,"2015-08-28","ROSALES","240","3","3"
1.4e+006,"2015-08-28","CHAPINERO","70","2","2"
2.2e+006,"2015-08-28","CHAPINERO","80","2","3"
1.4e+006,"2015-08-28","GALERIAS","84","2","3"
1.3e+006,"2015-08-28","CHAPINERO","50","1","2"
1.1699e+006,"2015-08-28","CHAPINERO","56","2","2"
1.3e+007,"2015-08-28","ROSALES","290","5","3"
700000,"2015-08-28",NA,"37","1","1"
1.25e+006,"2015-08-28","CHAPINERO","70","2","2"
7e+006,"2015-08-28","ROSALES","380","5","3"
1.75e+006,"2015-08-28","CHAPINERO","52","2","1"
NA,"2015-08-28",NA,"52","2","1"
4e+006,"2015-08-28","ROSALES","130","3","2"
950000,"2015-08-28","MARLY","51","2","1"
NA,"2015-08-28",NA,NA,"1","1"
1.45e+006,"2015-08-27","CHAPINERO","55","1","2"
3.9e+006,"2015-08-27","QUINTA CAMACHO","90","3","3"
8e+006,"2015-08-27","EMAUS","284","3","3"
2.41e+006,"2015-08-27","CHAPINERO","97","2","2"
1.4e+006,"2015-08-27","CHAPINERO","39","1","1"
1.3e+006,"2015-08-27","CHAPINERO","30","1","1"
1.5e+006,"2015-08-27","CHAPINERO","30","1","1"
1.18e+006,"2015-08-27",NA,"80","2","3"
2e+006,"2015-08-27","TEUSAQUILLO","85","2","1"
7e+006,"2015-08-27","ROSALES","171","4","2"
1.8e+006,"2015-08-27","TEUSAQUILLO","62","1","1"
2e+006,"2015-08-27","TEUSAQUILLO","58","1","1"
2.5e+006,"2015-08-27","TEUSAQUILLO","84","2","2"
4.8e+006,"2015-08-27","ROSALES","100","2","2"
4.2e+006,"2015-08-27","ROSALES","200","4","3"
1.1e+007,"2015-08-27","ROSALES","260","5","3"
2.4e+006,"2015-08-27","CHAPINERO","64","2","2"
3.5e+006,"2015-08-27","ROSALES","273","3","3"
3.8e+006,"2015-08-27","ROSALES","145","3","3"
4e+006,"2015-08-27","ROSALES","273","3","3"
2.5e+006,"2015-08-27","CHAPINERO","68","2","1"
4.5e+006,"2015-08-27","CASTILLO","284","2","3"
4.5e+006,"2015-08-27","ROSALES","190","3","3"
3e+006,"2015-08-27","ROSALES","90","3","1"
5.1e+006,"2015-08-27",NA,"186","3","3"
1.5e+006,"2015-08-27","CHAPINERO","43","2","1"
1.9e+006,"2015-08-27","CHAPINERO","80","2","2"
2.4e+006,"2015-08-27","ROSALES","76","2","2"
800000,"2015-08-27","CHAPINERO","40","1","1"
3.95e+006,"2015-08-27","ROSALES","110","2","2"
1.4e+006,"2015-08-27","CHAPINERO","54","2","2"
1e+006,"2015-08-27","CHAPINERO","41","1","1"
NA,"2015-08-26","CHAPINERO","214","4","3"
NA,"2015-08-26","ROSALES","100","2","2"
NA,"2015-08-26","CHAPINERO","70","2","2"
NA,"2015-08-26","JAVERIANA","33","1","1"
NA,"2015-08-26","JAVERIANA","50","1","1"
1.8e+006,"2015-08-26","ROSALES","99","3","3"
1.8e+006,"2015-08-26","ROSALES","99","3","3"
1.55e+006,"2015-08-26","CHAPINERO","67","2","1"
2.4e+006,"2015-08-26","CHAPINERO","75","2","2"
1.0533e+006,"2015-08-26","CHAPINERO","26","1","1"
NA,"2015-08-26","CHAPINERO","47","1","1"
2e+007,"2015-08-26","ROSALES",NA,"7","5"
2.5e+006,"2015-08-26","CHAPINERO","109","3","4"
950000,"2015-08-26",NA,"96","2","3"
3e+006,"2015-08-26","ROSALES","86","2","2"
2.5e+006,"2015-08-26","CHAPINERO","73","2","1"
1.1e+006,"2015-08-26","CHAPINERO","40","1","1"
1.3e+006,"2015-08-26","JAVERIANA","37","1","1"
3.85e+006,"2015-08-25","ROSALES","140","4","3"
NA,"2015-08-25",NA,"40","1","3"
NA,"2015-08-25","CHAPINERO","54","1","1"
1.3e+006,"2015-08-25","CHAPINERO","45","1","1"
1.35e+006,"2015-08-25","MARLY","54","2","3"
5e+006,"2015-08-25","ROSALES","210","3","2"
8e+006,"2015-08-25","CHAPINERO","219","4","3"
3.1e+006,"2015-08-25","ROSALES","76","1","1"
1.65e+006,"2015-08-25","CHAPINERO","40","1","1"
1.5e+006,"2015-08-25","CHAPINERO","95","1","2"
830000,"2015-08-25","JAVERIANA","55","1","1"
2.258e+006,"2015-08-25","JAVERIANA","140","3","3"
2.6e+006,"2015-08-25","CHAPINERO","50","1","1"
NA,"2015-08-25",NA,"50","1","3"
4.3e+006,"2015-08-25","ROSALES","92","3","2"
1.1e+006,"2015-08-25","CHAPINERO","40","1","1"
830000,"2015-08-25","CHAPINERO",NA,"1","1"
800000,"2015-08-25","JAVERIANA",NA,"1","1"
1.2e+007,"2015-08-24","ROSALES","290","5","3"
1.2e+007,"2015-08-24","ROSALES","250","4","3"
8e+006,"2015-08-24","ROSALES","154","3","3"
1.9e+006,"2015-08-24","CHAPINERO","72","2","1"
1.95e+006,"2015-08-24","CASTILLO","38","2","1"
4.9e+006,"2015-08-24","ROSALES","140","3","3"
800000,"2015-08-24","TEUSAQUILLO","45","1","1"
1.5e+009,"2015-08-24","JAVERIANA","65","2","2"
